,movie,year,pg_rating,imdb_id,runtime,genre,metascore,imdb_rating,votes,gross_us
0,Star Wars: Episode VII - The Force Awakens,2015,PG-13,2488496,138,"Action, Adventure, Sci-Fi",80.0,7.9,850403,936.66
1,Avengers: Endgame,2019,PG-13,4154796,181,"Action, Adventure, Drama",78.0,8.4,777584,858.37
2,Avatar,2009,PG-13,499549,162,"Action, Adventure, Fantasy",83.0,7.8,1107952,760.51
3,Avengers: Infinity War,2018,PG-13,4154756,149,"Action, Adventure, Sci-Fi",68.0,8.4,811045,678.82
4,Titanic,1997,PG-13,120338,194,"Drama, Romance",75.0,7.8,1031257,659.33
5,The Avengers,2012,PG-13,848228,143,"Action, Adventure, Sci-Fi",69.0,8.0,1248570,623.28
6,Incredibles 2,2018,PG,3606756,118,"Animation, Action, Adventure",80.0,7.6,243287,608.58
7,The Dark Knight,2008,PG-13,468569,152,"Action, Crime, Drama",84.0,9.0,2267158,534.86
8,Rogue One: A Star Wars Story,2016,PG-13,3748528,133,"Action, Adventure, Sci-Fi",65.0,7.8,544157,532.18
9,The Dark Knight Rises,2012,PG-13,1345836,164,"Action, Adventure",78.0,8.4,1495138,448.14
10,E.T. the Extra-Terrestrial,1982,PG,83866,115,"Family, Sci-Fi",91.0,7.8,366669,435.11
11,Toy Story 4,2019,G,1979376,100,"Animation, Adventure, Comedy",84.0,7.8,194503,434.04
12,The Lion King,1994,G,110357,88,"Animation, Adventure, Drama",88.0,8.5,926796,422.78
13,Toy Story 3,2010,G,435761,103,"Animation, Adventure, Comedy",92.0,8.3,746531,415.00
14,Captain America: Civil War,2016,PG-13,3498820,147,"Action, Adventure, Sci-Fi",75.0,7.8,651670,408.08
15,Jurassic Park,1993,PG-13,107290,127,"Action, Adventure, Sci-Fi",68.0,8.1,854774,402.45
16,Guardians of the Galaxy Vol. 2,2017,PG-13,3896198,136,"Action, Adventure, Comedy",67.0,7.6,557810,389.81
17,Harry Potter and the Deathly Hallows: Part 2,2011,PG-13,1201607,130,"Adventure, Drama, Fantasy",85.0,8.1,751260,381.01
18,Finding Nemo,2003,G,266543,100,"Animation, Adventure, Comedy",90.0,8.1,936318,380.84
19,The Lord of the Rings: The Return of the King,2003,PG-13,167260,201,"Action, Adventure, Drama",94.0,8.9,1618596,377.85
20,Deadpool,2016,R,1431045,108,"Action, Adventure, Comedy",65.0,8.0,889607,363.07
21,Inside Out,2015,PG,2096673,95,"Animation, Adventure, Comedy",94.0,8.1,600512,356.46
22,The Lord of the Rings: The Two Towers,2002,PG-13,167261,179,"Action, Adventure, Drama",87.0,8.7,1463058,342.55
23,Zootopia,2016,PG,2948356,108,"Animation, Adventure, Comedy",78.0,8.0,426022,341.27
24,Joker,2019,R,7286456,122,"Crime, Drama, Thriller",59.0,8.5,891742,335.45
25,Guardians of the Galaxy,2014,PG-13,2015381,121,"Action, Adventure, Comedy",76.0,8.0,1030910,333.18
26,Forrest Gump,1994,PG-13,109830,142,"Drama, Romance",82.0,8.8,1775363,330.25
27,Deadpool 2,2018,R,5463162,119,"Action, Adventure, Comedy",66.0,7.7,467619,324.59
28,Star Wars: Episode IV - A New Hope,1977,PG,76759,121,"Action, Adventure, Fantasy",90.0,8.6,1213936,322.74
29,Iron Man,2008,PG-13,371746,126,"Action, Adventure, Sci-Fi",79.0,7.9,927677,318.41
30,Harry Potter and the Sorcerer's Stone,2001,PG,241527,152,"Adventure, Family, Fantasy",64.0,7.6,639685,317.58
